,section,speech,narrated,emotional_NRC,neutral_NRC,positive_NRC,negative_NRC,speech_emotional_NRC,narrated_emotional_NRC,speech_neutral_NRC,narrated_neutral_NRC,Trust_NRC,Fear_NRC,Joy_NRC,Sadness_NRC,Anger_NRC,Disgust_NRC,Anticipation_NRC,Surprise_NRC,Trust_NRC_speech,Fear_NRC_speech,Joy_NRC_speech,Sadness_NRC_speech,Anger_NRC_speech,Disgust_NRC_speech,Anticipation_NRC_speech,Surprise_NRC_speech,Trust_NRC_narrated,Fear_NRC_narrated,Joy_NRC_narrated,Sadness_NRC_narrated,Anger_NRC_narrated,Disgust_NRC_narrated,Anticipation_NRC_narrated,Surprise_NRC_narrated
nh0001_1,1,58.36177474402731,41.638225255972685,35.153583617747444,64.84641638225256,13.993174061433447,8.873720136518774,10.921501706484642,24.232081911262803,47.44027303754266,17.4061433447099,10.921501706484642,2.389078498293516,2.389078498293516,5.802047781569966,0.6825938566552902,2.7303754266211606,5.802047781569966,1.023890784982935,3.7542662116040963,1.3651877133105803,1.023890784982935,3.0716723549488054,0.6825938566552902,1.706484641638225,3.0716723549488054,1.023890784982935,7.167235494880546,1.023890784982935,1.3651877133105803,2.7303754266211606,0.0,1.023890784982935,2.7303754266211606,0.0
nh0001_2,2,56.996587030716725,43.00341296928328,44.709897610921495,55.290102389078505,10.238907849829351,12.969283276450513,18.77133105802048,25.938566552901026,38.22525597269625,17.064846416382252,11.604095563139932,3.7542662116040963,1.023890784982935,8.873720136518774,3.4129692832764507,1.706484641638225,8.19112627986348,0.3412969283276451,3.4129692832764507,2.389078498293516,0.3412969283276451,4.778156996587032,2.04778156996587,1.3651877133105803,4.436860068259387,0.3412969283276451,8.19112627986348,1.3651877133105803,0.6825938566552902,4.09556313993174,1.3651877133105803,0.3412969283276451,3.7542662116040963,0.0
nh0001_3,3,47.7815699658703,52.2184300341297,50.51194539249146,49.48805460750854,16.723549488054605,14.675767918088734,13.651877133105804,36.860068259385656,34.129692832764505,15.358361774744028,12.286689419795222,4.436860068259387,1.706484641638225,5.460750853242321,4.09556313993174,1.023890784982935,6.4846416382252565,0.3412969283276451,3.7542662116040963,2.389078498293516,0.0,2.7303754266211606,1.706484641638225,0.6825938566552902,2.04778156996587,0.3412969283276451,8.532423208191126,2.04778156996587,1.706484641638225,2.7303754266211606,2.389078498293516,0.3412969283276451,4.436860068259387,0.0
nh0001_4,4,47.7815699658703,52.2184300341297,47.44027303754266,52.55972696245734,12.969283276450513,14.334470989761092,11.262798634812286,36.177474402730375,36.518771331058026,16.040955631399314,7.508532423208193,3.4129692832764507,2.389078498293516,6.143344709897611,7.8498293515358375,0.6825938566552902,4.436860068259387,2.04778156996587,3.4129692832764507,0.6825938566552902,0.3412969283276451,2.7303754266211606,3.4129692832764507,0.3412969283276451,0.6825938566552902,1.023890784982935,4.09556313993174,2.7303754266211606,2.04778156996587,3.4129692832764507,4.436860068259387,0.3412969283276451,3.7542662116040963,1.023890784982935
nh0001_5,5,59.32203389830508,40.67796610169492,38.983050847457626,61.016949152542374,13.220338983050848,9.830508474576273,13.559322033898303,25.423728813559322,45.76271186440679,15.254237288135593,9.491525423728813,5.423728813559323,1.6949152542372878,7.4576271186440675,1.6949152542372878,1.3559322033898304,6.779661016949151,0.3389830508474576,4.067796610169491,1.6949152542372878,1.0169491525423728,5.084745762711865,0.3389830508474576,0.6779661016949152,2.0338983050847457,0.3389830508474576,5.423728813559323,3.7288135593220337,0.6779661016949152,2.3728813559322037,1.3559322033898304,0.6779661016949152,4.7457627118644075,0.0
nh0002_1,1,29.39958592132505,70.60041407867493,50.10351966873706,49.89648033126294,21.22153209109731,12.008281573498964,5.590062111801243,44.51345755693582,23.809523809523807,26.08695652173913,14.906832298136644,6.004140786749482,3.2091097308488616,6.521739130434782,1.6563146997929608,1.7598343685300208,5.279503105590061,0.6211180124223602,3.312629399585921,0.8281573498964804,0.2070393374741201,1.7598343685300208,0.10351966873706003,0.3105590062111801,0.9316770186335404,0.10351966873706003,11.594202898550725,5.175983436853001,3.002070393374741,4.761904761904762,1.5527950310559009,1.4492753623188406,4.3478260869565215,0.5175983436853002
nh0002_2,2,44.92753623188405,55.07246376811594,43.581780538302276,56.41821946169773,18.426501035196686,10.869565217391305,9.420289855072463,34.16149068322981,35.507246376811594,20.91097308488613,16.666666666666664,5.383022774327122,2.5879917184265007,6.211180124223603,2.691511387163561,0.5175983436853002,7.453416149068322,1.1387163561076603,5.900621118012422,2.070393374741201,0.6211180124223602,2.2774327122153206,0.6211180124223602,0.3105590062111801,2.898550724637681,0.5175983436853002,10.766045548654244,3.312629399585921,1.9668737060041408,3.9337474120082816,2.070393374741201,0.2070393374741201,4.554865424430641,0.6211180124223602
nh0002_3,3,46.99792960662526,53.00207039337474,37.267080745341616,62.732919254658384,14.699792960662524,7.453416149068322,11.076604554865424,26.190476190476193,35.921325051759844,26.811594202898554,15.838509316770187,3.1055900621118013,2.5879917184265007,7.867494824016562,1.5527950310559009,0.6211180124223602,4.761904761904762,0.5175983436853002,6.211180124223603,0.5175983436853002,1.2422360248447204,3.7267080745341614,0.3105590062111801,0.10351966873706003,1.7598343685300208,0.4140786749482402,9.627329192546583,2.5879917184265007,1.3457556935817805,4.140786749482402,1.2422360248447204,0.5175983436853002,3.002070393374741,0.10351966873706003
nh0002_4,4,46.68737060041408,53.31262939958592,36.64596273291926,63.35403726708075,15.63146997929607,7.971014492753622,8.902691511387163,27.74327122153209,37.7846790890269,25.56935817805383,11.387163561076605,3.002070393374741,2.691511387163561,4.451345755693581,1.6563146997929608,1.7598343685300208,6.107660455486543,1.5527950310559009,3.9337474120082816,0.4140786749482402,0.4140786749482402,2.380952380952381,0.7246376811594203,0.8281573498964804,1.3457556935817805,0.9316770186335404,7.453416149068322,2.5879917184265007,2.2774327122153206,2.070393374741201,0.9316770186335404,0.9316770186335404,4.761904761904762,0.6211180124223602
nh0002_5,5,52.680412371134025,47.319587628865975,32.164948453608254,67.83505154639175,14.020618556701029,8.041237113402063,8.350515463917525,23.81443298969072,44.329896907216494,23.505154639175252,10.206185567010307,3.5051546391752577,1.855670103092784,5.567010309278351,2.061855670103093,0.8247422680412372,6.185567010309278,0.9278350515463918,3.8144329896907214,1.6494845360824744,0.6185567010309279,2.1649484536082477,0.5154639175257731,0.10309278350515463,1.7525773195876289,0.6185567010309279,6.391752577319587,1.855670103092784,1.2371134020618555,3.402061855670103,1.5463917525773196,0.7216494845360825,4.43298969072165,0.30927835051546393
